iter	Passed	Remaining
0	1	1669
1	3	1552
2	4	1459
3	5	1422
4	7	1415
5	8	1384
6	9	1367
7	11	1375
8	12	1374
9	13	1368
10	15	1356
11	16	1350
12	17	1329
13	18	1328
14	20	1329
15	21	1347
16	23	1346
17	24	1344
18	25	1339
19	27	1334
20	28	1332
21	29	1331
22	31	1329
23	32	1329
24	34	1326
25	35	1326
26	36	1327
27	38	1326
28	39	1326
29	40	1323
30	42	1323
31	43	1319
32	45	1318
33	46	1318
34	47	1315
35	49	1313
36	50	1311
37	51	1315
38	53	1316
39	54	1317
40	56	1313
41	57	1311
42	59	1313
43	60	1312
44	61	1310
45	63	1308
46	64	1306
47	65	1303
48	67	1300
49	68	1294
50	69	1291
51	70	1292
52	72	1290
53	73	1287
54	74	1284
55	76	1282
56	77	1280
57	78	1277
58	79	1275
59	81	1273
60	82	1271
61	83	1269
62	85	1267
63	86	1265
64	87	1264
65	89	1259
66	90	1258
67	91	1255
68	92	1254
69	94	1251
70	95	1246
71	96	1244
72	97	1242
73	99	1241
74	100	1239
75	101	1238
76	103	1236
77	104	1233
78	105	1232
79	106	1230
80	108	1228
81	109	1227
82	110	1225
83	112	1224
84	113	1222
85	114	1220
86	116	1218
87	117	1216
88	118	1215
89	120	1214
90	121	1212
91	122	1210
92	123	1209
93	125	1207
94	126	1204
95	127	1204
96	129	1203
97	130	1201
98	131	1199
99	133	1198
100	134	1197
101	135	1195
102	137	1193
103	138	1191
104	139	1190
105	140	1188
106	142	1186
107	143	1185
108	144	1184
109	146	1183
110	147	1181
111	148	1180
112	150	1178
113	151	1174
114	152	1172
115	153	1171
116	154	1169
117	156	1168
118	157	1166
119	158	1165
120	160	1164
121	161	1162
122	162	1160
123	164	1159
124	165	1157
125	166	1156
126	168	1154
127	169	1153
128	170	1151
129	171	1149
130	173	1148
131	174	1146
132	175	1145
133	177	1144
134	178	1142
135	179	1141
136	180	1139
137	182	1138
138	183	1137
139	184	1134
140	186	1133
141	187	1133
142	189	1132
143	190	1135
144	192	1136
145	194	1134
146	195	1134
147	196	1132
148	198	1131
149	199	1131
150	201	1130
151	202	1130
152	203	1129
153	205	1128
154	206	1127
155	208	1126
156	209	1126
157	211	1126
158	212	1126
159	214	1125
160	215	1125
161	217	1124
162	219	1124
163	220	1124
164	221	1122
165	223	1121
166	224	1121
167	226	1119
168	227	1119
169	229	1118
170	230	1117
171	231	1116
172	233	1115
173	234	1114
174	236	1113
175	237	1113
176	239	1112
177	240	1112
178	242	1111
179	243	1110
180	245	1109
181	246	1107
182	247	1107
183	249	1106
184	250	1105
185	252	1104
186	253	1103
187	255	1102
188	256	1101
189	258	1100
190	259	1099
191	261	1098
192	262	1097
193	263	1096
194	265	1094
195	266	1093
196	268	1093
197	269	1092
198	271	1091
199	272	1090
200	274	1089
201	275	1087
202	276	1087
203	278	1085
204	279	1084
205	280	1083
206	282	1081
207	283	1080
208	285	1079
209	286	1077
210	287	1076
211	289	1074
212	290	1072
213	291	1070
214	292	1067
215	293	1065
216	294	1063
217	295	1061
218	296	1059
219	297	1055
220	298	1053
221	300	1051
222	301	1049
223	302	1048
224	303	1046
225	305	1045
226	306	1043
227	307	1042
228	309	1040
229	310	1038
230	311	1037
231	312	1035
232	314	1034
233	315	1033
234	317	1032
235	318	1031
236	319	1029
237	320	1027
238	322	1026
239	323	1024
240	324	1022
241	325	1021
242	327	1019
243	328	1017
244	329	1015
245	330	1013
246	331	1011
247	332	1009
248	334	1007
249	335	1005
250	336	1003
251	337	1001
252	338	999
253	339	998
254	341	996
255	342	994
256	343	992
257	344	991
258	345	989
259	347	987
260	348	985
261	349	983
262	350	982
263	351	980
264	352	978
265	353	976
266	355	974
267	356	973
268	357	972
269	359	971
270	360	969
271	361	968
272	362	966
273	364	964
274	365	963
275	366	961
276	367	958
277	368	957
278	370	956
279	371	955
280	372	953
281	374	952
282	375	951
283	376	949
284	377	947
285	378	945
286	380	944
287	381	942
288	383	943
289	385	943
290	386	941
291	388	940
292	389	939
293	390	938
294	392	937
295	393	936
296	395	935
297	396	934
298	398	933
299	399	931
300	400	930
301	402	929
302	403	928
303	405	927
304	406	926
305	408	925
306	409	924
307	410	923
308	412	921
309	413	920
310	415	919
311	416	918
312	417	917
313	419	916
314	420	914
315	422	915
316	425	917
317	428	919
318	431	921
319	433	920
320	435	920
321	436	920
322	438	919
323	440	919
324	442	918
325	443	916
326	444	915
327	445	912
328	447	912
329	449	911
330	450	910
331	452	910
332	453	908
333	454	906
334	456	906
335	458	905
336	459	903
337	460	902
338	462	901
339	464	901
340	465	899
341	466	898
342	468	897
343	469	894
344	470	893
345	471	892
346	473	891
347	475	890
348	476	888
349	478	888
350	479	886
351	480	885
352	482	884
353	484	883
354	485	882
355	486	880
356	488	879
357	489	878
358	491	877
359	493	876
360	494	874
361	495	873
362	496	871
363	497	870
364	499	868
365	500	866
366	501	865
367	502	863
368	504	862
369	505	860
370	506	858
371	508	857
372	509	856
373	511	855
374	512	854
375	514	853
376	515	852
377	517	850
378	518	849
379	519	847
380	520	846
381	522	845
382	523	844
383	525	842
384	526	840
385	527	839
386	529	838
387	530	836
388	531	835
389	533	834
390	535	833
391	536	832
392	537	830
393	539	829
394	540	827
395	541	826
396	542	824
397	544	823
398	545	821
399	546	819
400	547	817
401	548	816
402	550	815
403	551	813
404	552	812
405	554	810
406	555	809
407	556	807
408	557	806
409	559	804
410	560	802
411	561	801
412	562	799
413	563	798
414	564	796
415	566	794
416	567	793
417	568	791
418	569	789
419	570	788
420	572	786
421	573	785
422	574	783
423	576	783
424	578	782
425	579	780
426	580	779
427	582	778
428	583	776
429	585	775
430	586	774
431	587	772
432	589	771
433	590	770
434	592	769
435	593	767
436	594	766
437	596	764
438	597	763
439	599	762
440	600	761
441	601	759
442	603	758
443	604	757
444	606	756
445	607	754
446	609	753
447	610	752
448	612	751
449	613	749
450	615	748
451	616	747
452	618	746
453	619	745
454	621	744
455	622	742
456	624	741
457	625	740
458	627	739
459	628	738
460	630	737
461	632	736
462	633	734
463	634	733
464	636	732
465	637	731
466	639	729
467	640	728
468	642	727
469	643	725
470	645	724
471	646	723
472	647	721
473	649	720
474	650	718
475	651	716
476	652	715
477	654	714
478	655	713
479	656	711
480	658	710
481	659	708
482	660	707
483	662	705
484	663	704
485	664	702
486	665	701
487	666	699
488	667	698
489	669	696
490	670	695
491	671	693
492	673	692
493	674	691
494	675	689
495	677	687
496	678	686
497	679	684
498	680	683
499	681	681
500	683	680
501	684	678
502	685	677
503	686	675
504	687	674
505	689	672
506	690	671
507	691	669
508	692	668
509	693	666
510	695	665
511	696	663
512	697	662
513	699	661
514	700	659
515	701	658
516	703	656
517	704	655
518	705	654
519	707	652
520	708	651
521	709	650
522	711	648
523	712	647
524	713	645
525	714	643
526	715	642
527	717	641
528	718	639
529	719	638
530	721	636
531	722	635
532	723	634
533	724	632
534	726	631
535	727	629
536	728	628
537	729	626
538	731	625
539	732	624
540	733	622
541	734	621
542	736	619
543	737	618
544	738	616
545	740	615
546	741	614
547	743	613
548	744	611
549	745	610
550	747	608
551	748	607
552	749	606
553	751	604
554	752	603
555	753	602
556	755	600
557	756	599
558	758	598
559	759	596
560	760	595
561	762	594
562	763	592
563	764	591
564	766	589
565	767	588
566	769	587
567	770	586
568	772	584
569	773	583
570	774	582
571	776	580
572	777	579
573	779	578
574	780	576
575	782	575
576	783	574
577	784	572
578	786	571
579	787	570
580	788	568
581	790	567
582	791	566
583	793	565
584	794	563
585	795	562
586	797	560
587	798	559
588	799	558
589	801	557
590	802	555
591	804	554
592	805	553
593	807	551
594	808	550
595	810	549
596	811	547
597	813	546
598	814	545
599	816	544
600	817	542
601	818	541
602	820	540
603	822	538
604	823	537
605	825	536
606	826	535
607	827	533
608	829	532
609	830	531
610	832	529
611	833	528
612	834	527
613	836	525
614	837	524
615	839	523
616	840	521
617	842	520
618	843	519
619	844	517
620	846	516
621	847	514
622	848	513
623	849	512
624	850	510
625	852	509
626	853	507
627	855	506
628	856	505
629	858	503
630	859	502
631	860	501
632	862	499
633	863	498
634	864	497
635	866	495
636	867	494
637	869	493
638	870	491
639	871	490
640	872	488
641	873	487
642	874	485
643	876	484
644	877	482
645	878	481
646	879	479
647	880	478
648	882	477
649	883	475
650	885	474
651	886	473
652	887	471
653	888	470
654	890	468
655	891	467
656	892	466
657	894	464
658	895	463
659	897	462
660	898	460
661	899	459
662	901	458
663	902	456
664	904	455
665	905	454
666	907	452
667	908	451
668	910	450
669	911	448
670	912	447
671	914	446
672	915	445
673	917	443
674	918	442
675	920	441
676	921	439
677	923	438
678	924	437
679	925	435
680	927	434
681	928	432
682	929	431
683	930	430
684	932	428
685	933	427
686	934	425
687	936	424
688	937	423
689	938	421
690	939	420
691	940	418
692	942	417
693	943	415
694	944	414
695	945	413
696	946	411
697	948	410
698	949	408
699	950	407
700	952	406
701	953	404
702	955	403
703	956	402
704	957	400
705	959	399
706	960	398
707	962	396
708	963	395
709	964	394
710	966	392
711	967	391
712	968	389
713	970	388
714	971	387
715	973	385
716	974	384
717	975	383
718	977	382
719	978	380
720	980	379
721	981	378
722	983	376
723	984	375
724	986	374
725	987	372
726	989	371
727	990	370
728	992	368
729	993	367
730	995	366
731	996	364
732	998	363
733	999	362
734	1001	361
735	1002	359
736	1004	358
737	1005	356
738	1006	355
739	1009	354
740	1010	353
741	1012	351
742	1013	350
743	1014	349
744	1016	347
745	1026	349
746	1029	348
747	1031	347
748	1033	346
749	1034	344
750	1035	343
751	1037	342
752	1038	340
753	1040	339
754	1041	338
755	1043	336
756	1044	335
757	1046	333
758	1047	332
759	1048	331
760	1049	329
761	1051	328
762	1052	326
763	1054	325
764	1055	324
765	1056	322
766	1058	321
767	1059	319
768	1060	318
769	1062	317
770	1063	315
771	1064	314
772	1066	313
773	1067	311
774	1068	310
775	1070	308
776	1071	307
777	1072	306
778	1074	304
779	1075	303
780	1077	302
781	1078	300
782	1080	299
783	1081	297
784	1082	296
785	1084	295
786	1086	294
787	1087	292
788	1089	291
789	1090	289
790	1092	288
791	1093	287
792	1095	285
793	1096	284
794	1098	283
795	1099	281
796	1101	280
797	1102	279
798	1104	277
799	1105	276
800	1107	275
801	1109	273
802	1110	272
803	1111	271
804	1113	269
805	1114	268
806	1116	267
807	1118	265
808	1119	264
809	1120	262
810	1122	261
811	1123	260
812	1125	258
813	1126	257
814	1128	256
815	1130	254
816	1131	253
817	1132	252
818	1134	250
819	1136	249
820	1137	248
821	1138	246
822	1140	245
823	1141	243
824	1142	242
825	1143	240
826	1145	239
827	1146	238
828	1147	236
829	1149	235
830	1150	233
831	1151	232
832	1153	231
833	1154	229
834	1156	228
835	1157	227
836	1159	225
837	1160	224
838	1162	223
839	1163	221
840	1164	220
841	1166	218
842	1168	217
843	1169	216
844	1170	214
845	1172	213
846	1173	212
847	1175	210
848	1176	209
849	1177	207
850	1179	206
851	1180	205
852	1182	203
853	1183	202
854	1184	200
855	1186	199
856	1187	198
857	1188	196
858	1190	195
859	1192	194
860	1193	192
861	1194	191
862	1196	189
863	1197	188
864	1199	187
865	1200	185
866	1202	184
867	1203	183
868	1204	181
869	1206	180
870	1208	178
871	1209	177
872	1211	176
873	1212	174
874	1214	173
875	1215	172
876	1216	170
877	1217	169
878	1219	167
879	1220	166
880	1222	165
881	1223	163
882	1225	162
883	1226	160
884	1228	159
885	1229	158
886	1231	156
887	1232	155
888	1233	154
889	1235	152
890	1236	151
891	1237	149
892	1238	148
893	1240	147
894	1241	145
895	1242	144
896	1243	142
897	1244	141
898	1246	139
899	1247	138
900	1248	137
901	1249	135
902	1250	134
903	1252	132
904	1253	131
905	1254	130
906	1256	128
907	1257	127
908	1258	126
909	1260	124
910	1261	123
911	1262	121
912	1263	120
913	1264	119
914	1266	117
915	1267	116
916	1268	114
917	1269	113
918	1270	111
919	1271	110
920	1273	109
921	1274	107
922	1275	106
923	1276	105
924	1277	103
925	1278	102
926	1280	100
927	1281	99
928	1282	98
929	1283	96
930	1284	95
931	1285	93
932	1287	92
933	1288	91
934	1289	89
935	1290	88
936	1291	86
937	1292	85
938	1294	84
939	1295	82
940	1296	81
941	1297	79
942	1298	78
943	1299	77
944	1301	75
945	1302	74
946	1303	72
947	1304	71
948	1306	70
949	1307	68
950	1308	67
951	1309	66
952	1310	64
953	1311	63
954	1313	61
955	1314	60
956	1315	59
957	1317	57
958	1318	56
959	1320	55
960	1321	53
961	1322	52
962	1324	50
963	1325	49
964	1326	48
965	1328	46
966	1330	45
967	1331	44
968	1332	42
969	1333	41
970	1335	39
971	1336	38
972	1337	37
973	1338	35
974	1340	34
975	1341	32
976	1342	31
977	1344	30
978	1345	28
979	1346	27
980	1348	26
981	1349	24
982	1350	23
983	1352	21
984	1353	20
985	1355	19
986	1356	17
987	1357	16
988	1359	15
989	1360	13
990	1362	12
991	1363	10
992	1364	9
993	1366	8
994	1367	6
995	1369	5
996	1370	4
997	1372	2
998	1374	1
999	1376	0
