mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.661708593,0.083087396,0.014400864,0.006651457,0.577867748,0.679318714,8,3251,85.87438317,98.05562627,0.215261791,"OrderedDict([('colsample_bytree', 0.5778677484569327), ('learning_rate', 0.6793187137881445), ('max_depth', 8), ('n_estimators', 3251), ('reg_alpha', 85.87438316565517), ('reg_lambda', 98.05562626781331), ('subsample', 0.21526179068277768)])",0.90176399,0.933759124,0.896949069,0.906883048,0.870383912,0.901947829,0.02028604,53
0.624189711,0.012891231,0.006999826,0.001548681,0.101473265,0.590174741,4,351,52.61502573,11.55887084,0.772050258,"OrderedDict([('colsample_bytree', 0.10147326463495382), ('learning_rate', 0.5901747412959061), ('max_depth', 4), ('n_estimators', 351), ('reg_alpha', 52.61502573108516), ('reg_lambda', 11.55887084218008), ('subsample', 0.7720502576956068)])",0.863189376,0.942092457,0.908482326,0.918231772,0.873044891,0.901008165,0.029163814,54
2.801154804,0.306627735,0.006799603,0.000748366,0.916475245,0.300851251,8,1671,94.41685212,57.86354043,0.538263393,"OrderedDict([('colsample_bytree', 0.916475244712402), ('learning_rate', 0.30085125110826966), ('max_depth', 8), ('n_estimators', 1671), ('reg_alpha', 94.4168521174789), ('reg_lambda', 57.863540431500404), ('subsample', 0.5382633929636391)])",0.902645985,0.932502028,0.903694743,0.90942549,0.879169206,0.90548749,0.017024883,48
5.356914997,0.093043742,0.010801029,0.002638453,0.332534496,0.979114622,11,3017,26.2524256,16.27824954,0.795452261,"OrderedDict([('colsample_bytree', 0.33253449577547334), ('learning_rate', 0.979114621842098), ('max_depth', 11), ('n_estimators', 3017), ('reg_alpha', 26.252425604613208), ('reg_lambda', 16.27824954246273), ('subsample', 0.7954522611695781)])",0.912956204,0.96946472,0.925090216,0.930738949,0.902589884,0.928167995,0.0228348,35
4.216533184,0.185497606,0.008799267,0.001326899,0.620818224,0.126797115,4,2107,6.452476292,27.7080692,0.990315627,"OrderedDict([('colsample_bytree', 0.6208182237087633), ('learning_rate', 0.1267971145244213), ('max_depth', 4), ('n_estimators', 2107), ('reg_alpha', 6.4524762924173), ('reg_lambda', 27.708069200046282), ('subsample', 0.9903156273468315)])",0.926834955,0.97514193,0.939514476,0.940888215,0.90825716,0.938127347,0.021906036,24
8.245065546,0.782887278,0.011601305,0.006246374,0.663598072,0.297462202,9,4921,77.17137123,14.32620007,0.607244001,"OrderedDict([('colsample_bytree', 0.6635980718157796), ('learning_rate', 0.2974622016155913), ('max_depth', 9), ('n_estimators', 4921), ('reg_alpha', 77.17137123158781), ('reg_lambda', 14.32620006621023), ('subsample', 0.6072440013438604)])",0.911526764,0.936009732,0.895093496,0.912849586,0.888096689,0.908715253,0.01661724,46
2.242963648,0.063797798,0.009200954,0.000748418,0.575822568,0.067318865,5,998,24.04631523,34.21270253,0.67786715,"OrderedDict([('colsample_bytree', 0.5758225678679059), ('learning_rate', 0.06731886525659495), ('max_depth', 5), ('n_estimators', 998), ('reg_alpha', 24.04631523135751), ('reg_lambda', 34.21270253201294), ('subsample', 0.6778671495585501)])",0.922019465,0.969312652,0.928124744,0.929436972,0.902112533,0.930201273,0.021865568,33
2.653956461,0.15256521,0.007599068,0.001355764,0.467715711,0.817098529,5,1596,46.58528619,27.40343306,0.270655343,"OrderedDict([('colsample_bytree', 0.46771571066429407), ('learning_rate', 0.8170985293304972), ('max_depth', 5), ('n_estimators', 1596), ('reg_alpha', 46.58528618691152), ('reg_lambda', 27.40343305887944), ('subsample', 0.2706553431000541)])",0.896350365,0.927230333,0.897943492,0.905591323,0.874040219,0.900231146,0.017111084,55
10.35983458,1.816763204,0.020199537,0.001599729,0.710241109,0.524053045,10,2992,0.394660287,33.05780734,0.734519498,"OrderedDict([('colsample_bytree', 0.7102411087752373), ('learning_rate', 0.5240530446862546), ('max_depth', 10), ('n_estimators', 2992), ('reg_alpha', 0.3946602867023255), ('reg_lambda', 33.057807344891266), ('subsample', 0.7345194978169239)])",0.931001622,0.970559611,0.936008365,0.944763389,0.914645541,0.939395706,0.018409271,16
3.770940208,0.121555086,0.014000368,0.008577767,0.232677831,0.785433608,7,2303,81.79171554,67.87220777,0.861368794,"OrderedDict([('colsample_bytree', 0.23267783075605458), ('learning_rate', 0.7854336079662638), ('max_depth', 7), ('n_estimators', 2303), ('reg_alpha', 81.79171553633941), ('reg_lambda', 67.8722077708755), ('subsample', 0.8613687941302558)])",0.81412206,0.878467153,0.901736652,0.899778561,0.863325208,0.871485927,0.032004773,59
2.581359196,0.015692287,0.008000183,0.002607328,0.1,0.80710118,2,1878,88.88788521,64.9274199,1,"OrderedDict([('colsample_bytree', 0.1), ('learning_rate', 0.8071011803578155), ('max_depth', 2), ('n_estimators', 1878), ('reg_alpha', 88.88788520764089), ('reg_lambda', 64.92741990222866), ('subsample', 1.0)])",0.895701541,0.943379968,0.900670467,0.915443287,0.877798091,0.906598671,0.021974783,47
9.017056894,1.19581693,0.019999313,0.005548754,0.1,0.344919233,3,4054,0.110293789,80.61618009,0.499800307,"OrderedDict([('colsample_bytree', 0.1), ('learning_rate', 0.3449192326136693), ('max_depth', 3), ('n_estimators', 4054), ('reg_alpha', 0.11029378916321506), ('reg_lambda', 80.61618008559773), ('subsample', 0.49980030721035096)])",0.9,0.954217356,0.910829984,0.927765931,0.889437335,0.916450121,0.022743327,41
13.08899274,0.245941762,0.028399467,0.004223439,0.888196819,0.459795853,6,2720,1.01749992,81.61039754,0.695118959,"OrderedDict([('colsample_bytree', 0.8881968194500348), ('learning_rate', 0.4597958525855521), ('max_depth', 6), ('n_estimators', 2720), ('reg_alpha', 1.0174999198293102), ('reg_lambda', 81.61039753644194), ('subsample', 0.6951189594242889)])",0.934306569,0.969261963,0.939186418,0.945091446,0.917509649,0.941071209,0.01682463,8
9.438451147,1.664940393,0.024634266,0.007619525,0.64116184,0.556079578,7,2763,1.00E-09,6.874796698,0.351171091,"OrderedDict([('colsample_bytree', 0.6411618402561655), ('learning_rate', 0.556079577600612), ('max_depth', 7), ('n_estimators', 2763), ('reg_alpha', 1e-09), ('reg_lambda', 6.874796698162304), ('subsample', 0.3511710910107425)])",0.919829684,0.967903487,0.943922743,0.941687854,0.905829779,0.935834709,0.021375401,30
3.886536884,0.70882903,0.008800364,0.001165337,1,0.232818221,12,1414,17.30846733,88.85322352,0.608272591,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.23281822085840645), ('max_depth', 12), ('n_estimators', 1414), ('reg_alpha', 17.30846732826691), ('reg_lambda', 88.85322351921874), ('subsample', 0.6082725907320354)])",0.926784266,0.972830495,0.935721316,0.937474371,0.902671135,0.935096316,0.022584935,32
9.887639856,1.002798139,0.030800343,0.013075255,0.1,0.01,12,3957,1.00E-09,10.05946692,0.1,"OrderedDict([('colsample_bytree', 0.1), ('learning_rate', 0.01), ('max_depth', 12), ('n_estimators', 3957), ('reg_alpha', 1e-09), ('reg_lambda', 10.059466923100164), ('subsample', 0.1)])",0.8993309,0.961982968,0.914992209,0.929119167,0.887995125,0.918684074,0.025743629,39
5.001119995,0.222182789,0.013400841,0.002059529,1,0.01,6,868,1.00E-09,1.00E-09,1,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.01), ('max_depth', 6), ('n_estimators', 868), ('reg_alpha', 1e-09), ('reg_lambda', 1e-09), ('subsample', 1.0)])",0.929095702,0.966849148,0.942200443,0.95183712,0.91484867,0.940966216,0.017959184,9
9.832844925,0.898983883,0.012600088,0.002246922,1,0.488995752,11,5000,1.00E-09,1.00E-09,0.1,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.48899575239805093), ('max_depth', 11), ('n_estimators', 5000), ('reg_alpha', 1e-09), ('reg_lambda', 1e-09), ('subsample', 0.1)])",0.898134631,0.932542579,0.93114902,0.940580661,0.873969125,0.915275203,0.025260633,42
0.244594717,0.043993367,0.007000685,0.001264217,0.54489728,0.302808335,9,50,1.00E-09,73.81072487,1,"OrderedDict([('colsample_bytree', 0.5448972803328651), ('learning_rate', 0.3028083353138351), ('max_depth', 9), ('n_estimators', 50), ('reg_alpha', 1e-09), ('reg_lambda', 73.81072486945376), ('subsample', 1.0)])",0.928497567,0.976409165,0.940027065,0.939606742,0.908836076,0.938675323,0.022002295,19
8.293268394,1.160070235,0.011799526,0.004069321,1,0.064093129,9,4089,21.77641784,88.89308114,1,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.06409312940092704), ('max_depth', 9), ('n_estimators', 4089), ('reg_alpha', 21.77641783868955), ('reg_lambda', 88.8930811440309), ('subsample', 1.0)])",0.929186942,0.970681265,0.936869515,0.937515378,0.904204753,0.935691571,0.021273093,31
0.493791246,0.065094146,0.005201101,0.000400305,1,1,12,50,1.00E-09,30.02266016,1,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 1.0), ('max_depth', 12), ('n_estimators', 50), ('reg_alpha', 1e-09), ('reg_lambda', 30.02266016403171), ('subsample', 1.0)])",0.934691809,0.970113544,0.943451161,0.943861232,0.921064392,0.942636427,0.016035121,5
7.681277895,0.509755509,0.012600756,0.007002526,1,0.061836101,2,3910,15.98236202,35.55022682,1,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.06183610123481851), ('max_depth', 2), ('n_estimators', 3910), ('reg_alpha', 15.9823620162276), ('reg_lambda', 35.55022681943087), ('subsample', 1.0)])",0.928264396,0.97724047,0.940929222,0.937494874,0.907444648,0.938274722,0.022701032,22
3.628143787,0.03575089,0.009198809,0.001939552,1,0.01,12,2049,100,1.00E-09,0.1,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.01), ('max_depth', 12), ('n_estimators', 2049), ('reg_alpha', 100.0), ('reg_lambda', 1e-09), ('subsample', 0.1)])",0.905981346,0.935442011,0.895360043,0.90856434,0.873197237,0.903708996,0.020181153,49
7.064486551,0.62022982,0.011800241,0.009600782,1,0.451573716,12,4494,100,80.04489823,1,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.4515737164164858), ('max_depth', 12), ('n_estimators', 4494), ('reg_alpha', 100.0), ('reg_lambda', 80.04489823465603), ('subsample', 1.0)])",0.916474047,0.944454582,0.902351759,0.909938079,0.882094251,0.911062544,0.020300821,44
0.198195267,0.005269097,0.005399466,0.000490856,0.732759827,0.288088981,12,50,16.56317737,42.96516373,1,"OrderedDict([('colsample_bytree', 0.7327598272668803), ('learning_rate', 0.2880889807258071), ('max_depth', 12), ('n_estimators', 50), ('reg_alpha', 16.563177374707017), ('reg_lambda', 42.9651637333605), ('subsample', 1.0)])",0.927412814,0.973631387,0.940775445,0.937033544,0.903808653,0.936532369,0.022576979,28
0.130797482,0.004664783,0.004600334,0.000489921,1,0.017951506,2,50,1.00E-09,1.00E-09,0.239455288,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.017951506214035025), ('max_depth', 2), ('n_estimators', 50), ('reg_alpha', 1e-09), ('reg_lambda', 1e-09), ('subsample', 0.239455288323611)])",0.913605028,0.950283861,0.917145083,0.938991635,0.901848466,0.924374815,0.017667053,37
0.119997978,0.013206178,0.004400206,0.000489728,0.872769867,0.856399114,2,50,1.00E-09,100,0.915595361,"OrderedDict([('colsample_bytree', 0.8727698665080218), ('learning_rate', 0.8563991142188864), ('max_depth', 2), ('n_estimators', 50), ('reg_alpha', 1e-09), ('reg_lambda', 100.0), ('subsample', 0.9155953610722244)])",0.932055961,0.975841444,0.940724186,0.940693431,0.901391428,0.93814129,0.023757399,23
4.245102596,0.113188293,0.015399504,0.00185515,0.1,1,7,1710,1.00E-09,1.00E-09,1,"OrderedDict([('colsample_bytree', 0.1), ('learning_rate', 1.0), ('max_depth', 7), ('n_estimators', 1710), ('reg_alpha', 1e-09), ('reg_lambda', 1e-09), ('subsample', 1.0)])",0.866849148,0.927939984,0.892479291,0.910214877,0.873958968,0.894288454,0.022607755,56
0.162397623,0.017590885,0.004799747,0.000399901,1,1,12,50,7.121686942,31.89426138,1,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 1.0), ('max_depth', 12), ('n_estimators', 50), ('reg_alpha', 7.121686942139596), ('reg_lambda', 31.89426137731835), ('subsample', 1.0)])",0.928629359,0.973864558,0.936172394,0.93666448,0.905159456,0.936098049,0.022088972,29
1.980968714,0.09675504,0.007600594,0.001495651,0.518868491,1,9,1055,5.835310319,10.33902878,0.657596733,"OrderedDict([('colsample_bytree', 0.5188684911415372), ('learning_rate', 1.0), ('max_depth', 9), ('n_estimators', 1055), ('reg_alpha', 5.835310319101687), ('reg_lambda', 10.339028778905913), ('subsample', 0.6575967326496184)])",0.93215734,0.975162206,0.937361601,0.949745756,0.914726793,0.941830739,0.020108734,7
11.60781646,0.228117584,0.02299943,0.004195932,0.386956983,0.72181182,6,4271,1.00E-09,99.91184809,0.300020021,"OrderedDict([('colsample_bytree', 0.38695698280329194), ('learning_rate', 0.7218118195025999), ('max_depth', 6), ('n_estimators', 4271), ('reg_alpha', 1e-09), ('reg_lambda', 99.9118480929035), ('subsample', 0.3000200205829512)])",0.935888078,0.974067315,0.943410153,0.944640367,0.92256754,0.944114691,0.01691088,3
4.802324295,0.464789048,0.011199284,0.003428462,0.393113696,0.26621788,2,2268,1.00E-09,36.11308406,0.686819732,"OrderedDict([('colsample_bytree', 0.39311369606278557), ('learning_rate', 0.26621788006979047), ('max_depth', 2), ('n_estimators', 2268), ('reg_alpha', 1e-09), ('reg_lambda', 36.11308406286395), ('subsample', 0.6868197316212098)])",0.935989457,0.97323601,0.947961945,0.95189863,0.922161284,0.946249465,0.017021325,1
0.171396637,0.01483832,0.005399418,0.000490994,0.467057064,0.01,6,50,1.00E-09,42.16226667,0.453948447,"OrderedDict([('colsample_bytree', 0.46705706403489666), ('learning_rate', 0.01), ('max_depth', 6), ('n_estimators', 50), ('reg_alpha', 1e-09), ('reg_lambda', 42.16226667463787), ('subsample', 0.4539484467111612)])",0.90419708,0.935756285,0.921502091,0.929631756,0.900985172,0.918414477,0.013725991,40
13.2999898,0.68365044,0.034600019,0.009970933,0.446104099,1,12,3938,1.00E-09,72.67747599,1,"OrderedDict([('colsample_bytree', 0.4461040990092109), ('learning_rate', 1.0), ('max_depth', 12), ('n_estimators', 3938), ('reg_alpha', 1e-09), ('reg_lambda', 72.67747599116755), ('subsample', 1.0)])",0.932806164,0.969525547,0.942097925,0.944353317,0.915803372,0.940917265,0.017482173,10
20.560674,0.605509748,0.041401482,0.011773819,0.784136081,1,10,5000,1.00E-09,90.07106356,1,"OrderedDict([('colsample_bytree', 0.7841360814801016), ('learning_rate', 1.0), ('max_depth', 10), ('n_estimators', 5000), ('reg_alpha', 1e-09), ('reg_lambda', 90.07106356211986), ('subsample', 1.0)])",0.932745337,0.96770073,0.939760518,0.947695399,0.913975218,0.94037544,0.01763985,13
14.58316936,1.757594296,0.029999304,0.006724416,0.507757553,1,7,5000,1.00E-09,93.13282786,0.597803552,"OrderedDict([('colsample_bytree', 0.5077575533157701), ('learning_rate', 1.0), ('max_depth', 7), ('n_estimators', 5000), ('reg_alpha', 1e-09), ('reg_lambda', 93.13282785692608), ('subsample', 0.5978035523675884)])",0.93215734,0.968450933,0.941134257,0.944496842,0.91614869,0.940477612,0.017089268,12
8.30272665,0.234538948,0.037141275,0.027848891,0.306188593,0.01,2,4285,1.00E-09,13.3582836,1,"OrderedDict([('colsample_bytree', 0.30618859348275645), ('learning_rate', 0.01), ('max_depth', 2), ('n_estimators', 4285), ('reg_alpha', 1e-09), ('reg_lambda', 13.35828359870279), ('subsample', 1.0)])",0.922749392,0.976905921,0.938079226,0.944148282,0.910268129,0.93843019,0.022592878,21
7.463031006,0.06382943,0.0160007,0.003848014,0.313630705,0.567650455,4,2636,1.00E-09,11.11619102,0.638109776,"OrderedDict([('colsample_bytree', 0.3136307054234979), ('learning_rate', 0.5676504554759068), ('max_depth', 4), ('n_estimators', 2636), ('reg_alpha', 1e-09), ('reg_lambda', 11.11619102356873), ('subsample', 0.6381097764411997)])",0.929785077,0.969160584,0.945624539,0.94867957,0.918423725,0.942334699,0.01732014,6
4.299480581,0.307776252,0.00680027,0.000747398,0.373944641,0.400089246,2,3129,5.976261582,18.22989072,1,"OrderedDict([('colsample_bytree', 0.3739446409783922), ('learning_rate', 0.4000892457711687), ('max_depth', 2), ('n_estimators', 3129), ('reg_alpha', 5.976261581886333), ('reg_lambda', 18.229890716811923), ('subsample', 1.0)])",0.921847121,0.976094891,0.93637743,0.942333716,0.908236847,0.936978001,0.022865576,27
14.52396684,0.67276274,0.032001877,0.006293496,0.60925723,1,7,3899,1.00E-09,72.3872376,1,"OrderedDict([('colsample_bytree', 0.6092572295714237), ('learning_rate', 1.0), ('max_depth', 7), ('n_estimators', 3899), ('reg_alpha', 1e-09), ('reg_lambda', 72.3872375978158), ('subsample', 1.0)])",0.930981346,0.969383617,0.943123103,0.946075617,0.913386147,0.940589966,0.018428005,11
9.079055595,0.340257334,0.016400051,0.001625207,0.305153178,0.01,7,3747,1.00E-09,94.14281632,0.1,"OrderedDict([('colsample_bytree', 0.30515317763163186), ('learning_rate', 0.01), ('max_depth', 7), ('n_estimators', 3747), ('reg_alpha', 1e-09), ('reg_lambda', 94.14281631596734), ('subsample', 0.1)])",0.90324412,0.959955393,0.914787173,0.928319528,0.891468617,0.919554966,0.023607756,38
10.27503557,0.464650874,0.022998953,0.01002001,0.309965939,1,9,5000,1.00E-09,100,0.1,"OrderedDict([('colsample_bytree', 0.30996593949180984), ('learning_rate', 1.0), ('max_depth', 9), ('n_estimators', 5000), ('reg_alpha', 1e-09), ('reg_lambda', 100.0), ('subsample', 0.1)])",0.935705596,0.969849959,0.937484622,0.942097925,0.914036157,0.939834852,0.017855952,15
13.8715776,0.780149496,0.03899951,0.009186525,0.377057924,1,7,4508,1.00E-09,77.73568489,0.566328141,"OrderedDict([('colsample_bytree', 0.37705792409272076), ('learning_rate', 1.0), ('max_depth', 7), ('n_estimators', 4508), ('reg_alpha', 1e-09), ('reg_lambda', 77.7356848919695), ('subsample', 0.5663281414215304)])",0.934347121,0.97027575,0.945091446,0.947695399,0.918342474,0.943150438,0.017047816,4
7.450082445,0.446901463,0.012800074,0.005073365,0.768587506,1,3,4392,25.29418591,32.11208493,0.202118862,"OrderedDict([('colsample_bytree', 0.7685875058080781), ('learning_rate', 1.0), ('max_depth', 3), ('n_estimators', 4392), ('reg_alpha', 25.294185905117498), ('reg_lambda', 32.11208493496645), ('subsample', 0.2021188618925214)])",0.901216545,0.941139497,0.912316493,0.92155335,0.8804286,0.911330897,0.020254751,43
